,High,Low,Medium
hospit,0.0,0.00022227161591470423,0.0
whi,5.643340857786061e-05,0.0003704526931911367,0.0
affect,-2.8216704288985817e-05,0.0,0.0
15,0.0,0.00044454323182929745,0.0
low,2.8216704288874794e-05,-7.409053863816073e-05,0.0
breast,-2.8216704288985817e-05,0.00014818107727643248,0.0
short,0.0,0.00022227161591470423,0.0
usual,-2.8216704288985817e-05,0.00014818107727643248,0.0
suppos,0.0,7.409053863827175e-05,0.0
30,0.0,0.00029636215455286496,0.00020708221163801
pack,-2.8216704288985817e-05,0.00029636215455286496,0.0
swollen,0.0,0.00044454323182929745,0.0
ach,-5.643340857797163e-05,-7.409053863816073e-05,0.00020708221163801
sweat,0.0,0.0,0.00020708221163801
product,0.0,7.409053863827175e-05,0.0
itchi,2.8216704288874794e-05,0.00029636215455286496,0.0
lbs,-5.643340857797163e-05,0.00014818107727643248,0.0
ruin,-2.8216704288985817e-05,0.00022227161591470423,0.0
person,0.0,-7.409053863816073e-05,0.0
unfortun,-2.8216704288985817e-05,7.409053863827175e-05,0.00020708221163801
dosag,-2.8216704288985817e-05,-0.0003704526931910257,0.0
straight,-5.643340857797163e-05,0.00022227161591470423,0.0
constip,-5.643340857797163e-05,-0.0004445432318291864,0.0
allerg,-8.465011286684643e-05,0.00029636215455286496,0.0
everyon,0.0,0.0,0.0
tast,0.00011286681715572122,0.00029636215455286496,0.0
tell,5.643340857786061e-05,0.00014818107727643248,0.0
pregnanc,2.8216704288874794e-05,0.0,0.0
fall,2.8216704288874794e-05,0.0,0.0
bc,0.0,0.0003704526931911367,0.0
throw,2.8216704288874794e-05,0.0011113580795732991,0.0
alreadi,-5.643340857797163e-05,0.00029636215455286496,0.0
gotten,0.0,0.00014818107727643248,0.0
recent,8.46501128667354e-05,0.00014818107727643248,0.0
red,0.0,-0.00014818107727632146,0.00020708221163801
wouldnt,-5.643340857797163e-05,0.0003704526931911367,0.0
diagnos,2.8216704288874794e-05,0.0007409053863821624,0.0
swell,0.0,0.0008890864636585949,0.00020708221163801
unbear,-2.8216704288985817e-05,0.0007409053863821624,0.0
er,8.46501128667354e-05,0.0005186337704675692,0.0
entir,-5.643340857797163e-05,0.00014818107727643248,0.0
anymor,-2.8216704288985817e-05,0.0,0.0
vagina,2.8216704288874794e-05,0.001407720234126164,0.0
kept,-2.8216704288985817e-05,0.00014818107727643248,0.00020708221163801
care,0.0,-0.00029636215455275394,0.0
left,-2.8216704288985817e-05,0.00014818107727643248,0.0
die,2.8216704288874794e-05,0.00014818107727643248,0.0
wish,0.0,-0.00014818107727632146,0.0
quick,-5.643340857797163e-05,-0.0002222716159145932,0.00020708221163801
major,0.0,0.0,0.0
wake,2.8216704288874794e-05,0.00014818107727643248,0.0
panic,0.0,-0.00014818107727632146,0.0
negat,0.00011286681715572122,0.0006668148477440017,0.0
hand,-2.8216704288985817e-05,7.409053863827175e-05,0.0
mild,2.8216704288874794e-05,7.409053863827175e-05,0.0
anxious,5.643340857786061e-05,0.00014818107727643248,0.0
nexplanon,0.0,0.00044454323182929745,0.0
energi,-2.8216704288985817e-05,0.00022227161591470423,0.0
becom,0.0,0.00022227161591470423,0.0
miser,0.0,0.00022227161591470423,0.0
everyday,0.0,-7.409053863816073e-05,0.0
confus,2.8216704288874794e-05,0.00022227161591470423,0.00020708221163801
stress,-5.643340857797163e-05,0.00044454323182929745,0.0
level,2.8216704288874794e-05,0.00022227161591470423,0.00020708221163801
exhaust,0.0,7.409053863827175e-05,0.0
guess,0.0,-0.00014818107727632146,0.0
posit,0.0,0.00022227161591470423,0.0
ok,2.8216704288874794e-05,0.0,0.000828328846552151
treatment,0.0,0.00022227161591470423,0.0
tomorrow,-2.8216704288985817e-05,0.00044454323182929745,0.0
water,0.0,0.00029636215455286496,0.0
turn,2.8216704288874794e-05,7.409053863827175e-05,0.0
sad,2.8216704288874794e-05,0.0003704526931911367,0.0
withdraw,0.0,-7.409053863816073e-05,0.00041416442327602
hell,8.46501128667354e-05,0.00029636215455286496,0.0
sore,0.0,7.409053863827175e-05,0.0
deal,0.0,0.0,0.0
regular,0.0,-0.00014818107727632146,0.0
wrong,0.0,0.00014818107727643248,0.0
job,5.643340857786061e-05,0.00014818107727643248,0.0
bled,2.8216704288874794e-05,0.00022227161591470423,0.0
reduc,2.8216704288874794e-05,0.0006668148477440017,0.00041416442327602
insur,-2.8216704288985817e-05,0.00022227161591470423,0.0
id,0.0,0.0,0.0
ask,0.0,-0.00014818107727632146,0.0
